N,Место,Кол-во CPU/ядер,Архитектура(тип процессора / сеть),Производительность Linpack Пиковая,Разработчик
1,Москва Московский государственный университет имени М.В.Ломоносова 2018 г.,1696/64384,узлов: 1536 (Xeon E5-2697v3 [Acc: Tesla K40M] 2.6 GHz 64 GB RAM) узлов: 160 (Xeon Gold 6126 [Acc: 2x Tesla P100] 2.6 GHz 96 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,2478.00 4946.79,Т-Платформы
2,Москва Главный вычислительный центр Федеральной службы по гидрометеорологии и мониторингу окружающей среды 2018 г.,1952/35136,узлов: 976 (2xXeon E5-2697v4 2.3 GHz 128 GB RAM) сеть: Aries/Aries + Infiniband/Aries + Gigabit Ethernet,1200.35 1293.00,"T-Платформы, CRAY"
3,Москва Московский государственный университет имени М.В.Ломоносова 2012 г.,12422/82468,узлов: 4160 (2xXeon 5570 2.93 GHz 12 GB RAM) узлов: 777 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 12 GB RAM) узлов: 640 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 288 (2xXeon E5630 [Acc: 2xTesla X2070] 2.53 GHz 24 GB RAM) узлов: 260 (2xXeon 5570 2.93 GHz 24 GB RAM) узлов: 40 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 30 (2xPowerXCell 8i 3.2 GHz 16 GB RAM) узлов: 4 (4xXeon E7650 2.26 GHz 512 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,901.90 1700.21,Т-Платформы
4,"Москва НИЦ ""Курчатовский Институт"" 2018 г.",1070/21146,узлов: 364 (2xXeon E5-2680v3 2.5 GHz 128 GB RAM) узлов: 148 (2xXeon E5-2650v2 [Acc: 2x Tesla K80] 2.6 GHz 128 GB RAM) узлов: 23 (2xXeon E5-2680v3 [Acc: 3x Tesla K80] 2.5 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,755.53 1100.55,"НИЦ ""Курчатовский Институт"", Supermicro, Борлас, Т-Платформы"
5,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2017 г.,1468/20552,узлов: 623 (2xXeon E5-2697v3 2.6 GHz 64 GB RAM) узлов: 56 (2xXeon E5-2697v3 [Acc: 2xTesla K40] 2.6 GHz 64 GB RAM) узлов: 36 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K1] 2.6 GHz 128 GB RAM) узлов: 8 (2xXeon E5-2697v3 [Acc: NVIDIA K2] 2.6 GHz 128 GB RAM) узлов: 3 (2xXeon E5-2697v3 2.6 GHz 256 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,715.94 1015.10,Группа компаний РСК
6,Москва CDISE Сколковский институт науки и технологий Сколтех 2018 г.,172/10616,узлов: 44 (2xXeon Gold 6136 3 GHz 192 GB RAM) узлов: 26 (2xXeon Gold 6140 [Acc: 4xTesla V100] 2.3 GHz 384 GB RAM) узлов: 4 (2xXeon Gold 6136 3 GHz 192 GB RAM) узлов: 4 (4xXeon Gold 6134 3.2 GHz 192 GB RAM) узлов: 2 (2xXeon Gold 6136 3 GHz 256 GB RAM) узлов: 2 (2xXeon Gold 6134 3.2 GHz 384 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet/Gigabit Ethernet,495.90 1011.60,DELL
7,Москва МСЦ РАН 2016 г.,416/28704,узлов: 208 (2xXeon E5-2690 [Acc: 2x Xeon Phi 7110X] 2.9 GHz 80 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Fast Ethernet,383.21 523.83,Группа компаний РСК
8,Нижний Новгород Нижегородский государственный университет им. Н.И. Лобачевского 2014 г.,360/30760,узлов: 100 (2xXeon E5-2660 [Acc: 3x Kepler K20X] 2.2 GHz 65.536 GB RAM) узлов: 50 (2xXeon E5-2660 [Acc: 2x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 2x Phi 5110P] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 [Acc: 3x Fermi 2090] 2.2 GHz 65.536 GB RAM) узлов: 10 (2xXeon E5-2660 2.2 GHz 65.536 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,289.50 573.00,Ниагара Компьютерс
9,Челябинск Южно-Уральский государственный университет 2013 г.,768/28032,узлов: 384 (2xXeon X5680 [Acc: Xeon Phi SE10X] 3.33 GHz 24.576 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,288.20 473.64,Группа компаний РСК
10,"Гатчина ОИВРТ НИЦ ""Курчатовский институт"" - ПИЯФ 2017 г.",496/9024,узлов: 160 (2xXeon E5-2680v4 2.4 GHz 128 GB RAM) узлов: 40 (Xeon Phi 7250 1.4 GHz 112 GB RAM) узлов: 30 (2xXeon E5-2680v4 2.4 GHz 256 GB RAM) узлов: 20 (2xXeon E5-2650v4 2.2 GHz 256 GB RAM) узлов: 16 (2xXeon E5-2680v4 2.4 GHz 1024 GB RAM) узлов: 2 (2xXeon E5-2680v4 2.4 GHz 1540 GB RAM) сеть: Infiniband EDR/Gigabit Ethernet/Gigabit Ethernet,200.44 362.38,"NP-IT, Ниагара компьютерс"
11,Санкт-Петербург Суперкомпьютерный центр Санкт-Петербургский политехнический университет 2017 г.,288/17280,узлов: 288 (Acc: Xeon Phi 5120D 1.053 GHz 8 GB RAM) сеть: Infiniband FDR/Infiniband FDR/Gigabit Ethernet,191.60 291.10,Группа компаний РСК
12,не указан IT Services Provider 2014 г.,1318/13180,узлы: (Xeon E5-2680v2 2.8 GHz) сеть: 10 Gigabit Ethernet,189.29 295.23,Hewlett-Packard
13,Дубна ЛИТ ОИЯИ 2018 г.,10/3400,узлов: 5 (2xXeon E5-2698v4 [Acc: 8x Tesla V100] 2.2 GHz 512 GB RAM) сеть: Infiniband QDR/10 Gigabit Ethernet/Gigabit Ethernet,175.13 319.00,"NVIDIA, IBS Platformix"
14,Москва МСЦ РАН 2017 г.,356/5528,узлов: 136 (2xXeon E5-2697Av4 2.6 GHz 128 GB RAM) узлов: 42 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) сеть: OmniPath/10 Gigabit Ethernet/Gigabit Ethernet,171.89 229.96,Группа компаний РСК
15,не указан IT Services Provider 2012 г.,2254/18032,узлы: (Xeon E5-2660 2.2 GHz) сеть: Gigabit Ethernet,160.90 317.40,Hewlett-Packard
16,Нижний Новгород Нижегородская лаборатория Intel 2016 г.,200/3600,узлов: 100 (2xXeon E5-2697v4 2.3 GHz 128 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,119.98 132.48,Intel
17,Москва ФГБУН Межведомственный суперкомпьютерный центр Российская академия наук 2009 г.,2370/13004,узлов: 990 (2xXeon E5450 3 GHz 8.192 GB RAM) узлов: 192 (2xXeon 5365 3 GHz 8.192 GB RAM) узлов: 74 (2xXeon X5670 2.93 GHz 12.288 GB RAM) узлов: 19 (2xXeon X5675 [Acc: 8x Tesla M2090] 3 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/2xGigabit Ethernet/Gigabit Ethernet,119.93 227.84,Hewlett-Packard
18,Екатеринбург Вычислительный центр ИММ УрО РАН 2008 г.,92/6184,узлов: 20 (2xXeon X5675 [Acc: 8x Tesla M2050] 3.06 GHz 49.152 GB RAM) узлов: 16 (2xXeon E5-2660 [Acc: 8x Tesla M2090] 2.2 GHz 98.304 GB RAM) узлов: 10 (2xXeon X5675 [Acc: 8x Tesla M2090] 3.06 GHz 196.608 GB RAM) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,109.88 225.85,"Hewlett Packard, Открытые технологии"
19,Дубна ЛИТ ОИЯИ 2018 г.,80/1440,узлов: 40 (2xXeon Gold 6154 3 GHz 192 GB RAM) сеть: OmniPath/Gigabit Ethernet/Fast Ethernet,102.12 138.24,группа компаний РСК
20,Москва РНЦ Курчатовский институт 2010 г.,2576/10304,узлы: (Xeon E5472 3 GHz) сеть: Infiniband 4x DDR/Gigabit Ethernet/Gigabit Ethernet,101.21 123.65,Hewlett-Packard
21,Челябинск Южно-Уральский государственный университет 2010 г.,1472/8832,"СКИФ ряд 4 Xeon X5680 3.33 GHz сеть: Трехмерный тор 60 Gbits, макс. задержка 1 мкс, InfiniBand QDR 40 Gbits",100.35 117.64,Группа компаний РСК
22,Москва Промышленный сектор 2016 г.,204/2808,узлов: 90 (2xXeon E5-2697v3 2.6 GHz 128 GB RAM) узлов: 6 (4xXeon E7-4830v3 2.1 GHz 512 GB RAM) сеть: Infiniband EDR/Gigabit Ethernet/Gigabit Ethernet,97.32 114.51,"Т-Платформы, Ай-Теко"
23,Москва Т-Нано 2013 г.,640/5564,узлов: 114 (2xXeon E5-2650v2 2.6 GHz 128 GB RAM) узлов: 70 (2xXeon E5-2670 2.6 GHz 128 GB RAM) узлов: 61 (2xXeon E5-2670v2 2.5 GHz 128 GB RAM) узлов: 50 (2xXeon E5-2680v2 2.8 GHz 128 GB RAM) узлов: 25 (2xXeon E5-2670 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,93.14 116.36,Т-Платформы
24,Санкт-Петербург Институт прикладной астрономии РАН 2014 г.,80/1680,узлов: 32 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) узлов: 8 (2xXeon E5-2670 [Acc: 2x Tesla K20] 2.6 GHz 64 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,85.34 106.91,Т-Платформы
25,Москва PetroTrace 2018 г.,280/3808,узлов: 32 (2xXeon E5-2698v3 2.3 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2680v2 2.8 GHz 256 GB RAM) узлов: 32 (2xXeon E5-2643v3 3.4 GHz 384 GB RAM) узлов: 32 (2xXeon E5-2698v4 2.2 GHz 512 GB RAM) узлов: 12 (2xXeon Gold 6148 2.4 GHz 512 GB RAM) сеть: 10 Gigabit Ethernet/10 Gigabit Ethernet/10 Gigabit Ethernet,84.38 154.83,Hewlett Packard Enterprise
26,Москва МСЦ РАН 2017 г.,38/2736,узлов: 38 (Xeon Phi 7290 1.5 GHz 96 MB RAM) сеть: OmniPath/10 Gigabit Ethernet/Gigabit Ethernet,83.91 131.33,Группа компаний РСК
27,не указан IT Services Provider 2012 г.,956/7648,узлы: (Xeon E5-2670 2.6 GHz) сеть: Gigabit Ethernet,83.81 159.08,Hewlett-Packard
28,"Томск Межрегиональный супервычислительный центр ТГУ ""Томский государственный университет"" 2015 г.",1330/6384,узлов: 282 (2xXeon 5150 2.66 GHz 8 GB RAM) узлов: 230 (2xXeon 5670 2.93 GHz 48 GB RAM) узлов: 128 (2xXeon 5670 2.93 GHz 24 GB RAM) узлов: 20 (2xXeon E5-2695v3 2.3 GHz 256 GB RAM) узлов: 5 (2xXeon E5-2695v3 [Acc: 2x Tesla K80] 2.3 GHz 256 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,78.29 106.82,Т-Платформы
29,"Москва ООО ""Технологическая компания Шлюмберже"" 2015 г.",104/2472,узлов: 20 (2xXeon E5-2620 [Acc: 3x Tesla K20X] 2 GHz 64 GB RAM) узлов: 16 (2xXeon X5560 [Acc: 1x Tesla S2050] 2.8 GHz 24 GB RAM) узлов: 16 (2xXeon E5-2670v2 [Acc: 3x Tesla K40] 2.5 GHz 96 GB RAM) сеть: Infiniband FDR/Gigabit Ethernet/Gigabit Ethernet,78.12 150.24,Hewlett Packard
30,Иркутск ЦКП ИСКЦ ИДСТУ СО РАН 2017 г.,240/4080,узлов: 60 (2xXeon E5-2695v4 2.1 GHz 128 GB RAM) узлов: 60 (2xOpteron 6276 2.3 GHz 64 GB RAM) сеть: Infiniband QDR/Infiniband QDR/Gigabit Ethernet,77.51 90.24,"Т-Платформы, Ниагара Компьютерс"
31,Новосибирск Западно-Сибирское управление по гидрометеорологии и мониторингу окружающей среды 2018 г.,120/2160,узлов: 60 (2xXeon E5-2697v4 2.3 GHz 128 GB RAM) сеть: Aries/Aries + Infiniband/Aries + Gigabit Ethernet,75.25 79.49,"T-Платформы, CRAY"
32,Хабаровск Дальневосточное управление по гидрометеорологии и мониторингу окружающей среды 2018 г.,120/2160,узлов: 60 (2xXeon E5-2697v4 2.3 GHz 128 GB RAM) сеть: Aries/Aries + Infiniband/Aries + Gigabit Ethernet,75.25 79.49,"T-Платформы, CRAY"
33,Москва Сколковский Институт Науки и Технологий 2017 г.,4/1360,узлов: 2 (2xXeon E5-2698v4 [Acc: 8x Tesla V100] 2.2 GHz 512 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet/Gigabit Ethernet,73.61 127.62,NVIDIA
34,Москва Финансовый сектор 2017 г.,4/1360,узлов: 2 (2xXeon E5-2698v4 [Acc: 8x Tesla V100] 2.2 GHz 512 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet/Gigabit Ethernet,73.53 127.62,NVIDIA
35,Долгопрудный Лаборатория iScalare Московский физико-технический институт государственный университет 2012 г.,448/3584,узлов: 224 (2xXeon E5-2690 2.9 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet,70.12 83.15,Группа компаний РСК
36,"Москва НИЦ ""Курчатовский институт"" 2012 г.",160/4320,узлов: 76 (2xXeon X5650 [Acc: 3xTesla M2070] 2.67 GHz 24 GB RAM) узлов: 4 (2xXeon X5670 [Acc: 3x Tesla M2050] 2.93 GHz 24 GB RAM) сеть: Gigabit Ethernet/Infiniband QDR/Fast Ethernet,69.60 133.90,Hewlett-Packard
37,Минск Республиканский суперкомпьютерный центр коллективного пользования ОИПИ НАН Беларуси 2018 г.,72/1296,узлов: 36 (2xXeon Gold 6140 2.3 GHz 192 GB RAM) сеть: Infiniband EDR/Infiniband EDR/Gigabit Ethernet,65.95 87.09,ОИПИ НАН Беларуси
38,"Москва ООО ""Технологическая компания Шлюмберже"" 2018 г.",8/992,узлов: 4 (2xXeon Gold 6136 [Acc: 4x Tesla P100] 3 GHz 256 GB RAM) сеть: Infiniband EDR/Infiniband EDR/Gigabit Ethernet,62.23 94.02,Hewlett Packard Enterprise
39,не указан Web Content Provider,2004/12024,узлов: 1002 (2xXeon E5645 2.4 GHz) сеть: Gigabit Ethernet,59.90 115.43,Hewlett-Packard
40,"Новосибирск ЦКП ""Сибирский суперкомпьютерный центр"" (с учетом оборудования Института Гидродинамики СО РАН) ИВМиМГ СО РАН 2017 г.",70/2016,узлов: 27 (2xXeon E5-2697Av4 2.6 GHz 128 GB RAM) узлов: 16 (Xeon Phi 7290 1.5 GHz 112 GB RAM) сеть: OmniPath/Gigabit Ethernet/Fast Ethernet,56.95 91.24,Группа компаний РСК
41,Пермь Промышленность 2015 г.,556/4420,узлов: 167 (2xXeon E5-2680 2.7 GHz 32 GB RAM) узлов: 54 (2xXeon X5670 2.93 GHz 24 GB RAM) узлов: 54 ([Acc: 4x Tesla M2090] 24 GB RAM) узлов: 24 (2xXeon E5-2690v2 3 GHz 64 GB RAM) узлов: 21 (2xOpteron 2435 2.6 GHz 32 GB RAM) узлов: 12 (2xXeon E5-2660v3 2.6 GHz 64 GB RAM) сеть: Infiniband QDR/Gigabit Ethernet/Gigabit Ethernet,56.84 70.24,IBM/Lenovo
42,Москва ЛНСиГО МФТИ 2017 г.,4/976,узлов: 2 (2xXeon E5-2698v4 [Acc: 8x Tesla P100] 2.2 GHz 512 GB RAM) сеть: Infiniband EDR/10 Gigabit Ethernet Copper/Fast Ethernet,56.58 87.68,NVIDIA
